,Year,Population,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck
1355,2025,3962718.5449299254,-13748.819455894525,4807.103874690831,37.9450948062655,0.9044435284418739,1630159.7592745237,-0.0034695422599430796,41.13740960382415,Moldova,Europe,0.20912269288385718
1356,2030,3907134.662407253,-16260.319868095685,9206.343363561435,39.168507831821955,0.7094105523495386,1575641.093157459,-0.0041616993712925736,40.327278921752836,Moldova,Europe,0.20912269288385718
1357,2035,3851550.7798845805,-18771.820280296844,13605.582852432039,40.391920857378466,0.5143775762572176,1521122.4270403944,-0.0048738342950938275,39.49376534212482,Moldova,Europe,0.20912269288385718
1358,2040,3795966.897361912,-21283.320692498004,18004.822341302643,41.61533388293492,0.3193446001648823,1466603.7609233297,-0.0056068246293952935,38.63584168614793,Moldova,Europe,0.20912269288385718
1359,2050,3684799.1323165707,-26306.321516900323,26803.301319043618,44.062159934047884,-0.07072135201978824,1357566.4286892004,-0.00713914668677258,36.84234553745461,Moldova,Europe,0.20912269288385718
1360,2020,39474.283965199254,296.1711321300827,0.0,0.0,0.0,39410.4065836356,0.007502888016694332,99.8381797587007,Monaco,Europe,0.023650980255858562
1361,2021,39881.41520206537,282.1560350288637,0.0,0.0,0.0,39786.13222423522,0.007074875191847542,99.76108426105897,Monaco,Europe,0.023650980255858562
1362,2022,40293.03153696563,266.86687295371667,0.0,0.0,0.0,40163.190903057344,0.006623152013491158,99.6777590840015,Monaco,Europe,0.023650980255858562
1363,2023,40709.13296990376,250.3036459023133,0.0,0.0,0.0,40541.582620101515,0.006148587003495325,99.58842073613772,Monaco,Europe,0.023650980255858562
1364,2024,41129.71950087417,232.4663538755849,0.0,0.0,0.0,40921.3073753682,0.00565202867164324,99.49328094615004,Monaco,Europe,0.023650980255858562
1365,2025,40990.34542456723,373.69497114592014,0.0,0.0,0.0,41134.60346248979,0.009116658258799377,100.35193174497157,Monaco,Europe,0.07070489389251174
1366,2030,42698.280708985985,396.71393239901045,0.0,0.0,0.0,42915.82811211876,0.009291098512908526,100.50949921055486,Monaco,Europe,0.07070489389251174
1367,2035,44406.21599340474,419.7328936521026,0.0,0.0,0.0,44697.052761747735,0.009452120255291326,100.65494607418518,Monaco,Europe,0.07070489389251174
1368,2040,46114.15127782361,442.7518549051947,0.0,0.0,0.0,46478.277411376825,0.009601214434973566,100.78961907237426,Monaco,Europe,0.07070489389251174
1369,2050,49530.02184666123,488.78977741137714,0.0,0.0,0.0,50040.72671063489,0.009868555659527253,101.03110163277282,Monaco,Europe,0.07070489389251174
1370,2020,3286990.315351963,64478.65357905626,1276.7419824004173,28.051761051985522,3.204327261522849,2243314.5789232254,0.019616319913663038,68.2482868430057,Mongolia,Asia,0.11790670834995087
1371,2021,3351088.728428364,68768.10514086485,2140.1603617817163,28.29674524600341,3.387290352558921,2296307.602651119,0.02052112334641661,68.52422566943105,Mongolia,Asia,0.11790670834995087
1372,2022,3416990.934096813,73288.28789299726,3042.221676543355,28.537930936499833,3.5850659688730957,2350508.937420368,0.021448195007391493,68.78885495321515,Mongolia,Asia,0.11790670834995087
1373,2023,3484696.932354927,78039.2018352747,3982.925926670432,28.77531812347661,3.7976541104726493,2405918.5832304955,0.02239483184626231,69.04240540667612,Mongolia,Asia,0.11790670834995087
1374,2024,3554206.723204136,83020.84696793556,4962.273112222552,29.008906806933737,4.025054777353944,2462536.5400829315,0.023358474459553056,69.285124132086,Mongolia,Asia,0.11790670834995087
1375,2025,3398514.5704863966,59195.90272052749,1117.0832646331983,29.716735366858984,2.4031244847485453,2368297.909315735,0.017418169465742605,69.68626616706791,Mongolia,Asia,0.1729765373346274
1376,2030,3587205.607996702,63783.90065952181,2610.5807914262405,31.219208573784044,2.2356059356966114,2544973.144682601,0.017780943617319536,70.94583982053534,Mongolia,Asia,0.1729765373346274
1377,2035,3775896.645507008,68371.8985985159,4104.078318219399,32.72168178070899,2.0680873866446774,2721648.380049452,0.018107460298171184,72.07952535692363,Mongolia,Asia,0.1729765373346274
1378,2040,3964587.6830173135,72959.89653751021,5597.575845012441,34.22415498763394,1.9005688375927434,2898323.615416318,0.018402896434865302,73.10529737635925,Mongolia,Asia,0.1729765373346274
1379,2050,4341969.758037925,82135.89241549862,8584.570898598642,37.229101401483945,1.5655317394888613,3251674.0861500353,0.01891673525902554,74.8893766505509,Mongolia,Asia,0.1729765373346274
1380,2020,629733.490017496,273.2996675930917,-373.39867091551423,38.34062944304969,1.7149385259704104,423078.58822774887,0.00043399258881006723,67.18375232290637,Montenegro,Europe,0.3945083139276006
1381,2021,630706.8804071471,244.00044434517622,-375.3768284507096,38.454370693176315,1.7110494819007727,424098.79552590847,0.0003868682139437958,67.24182162911167,Montenegro,Europe,0.3945083139276006
1382,2022,631713.4621229246,212.48741364572197,-389.9501122161746,38.55756096800542,1.7077955090264823,424912.1180049181,0.00033636676497543786,67.26342613895963,Montenegro,Europe,0.3945083139276006
1383,2023,632753.2351648435,178.76057549379766,-417.118522208184,38.650200267529726,1.7051766073470844,425518.55566471815,0.00028251230583945945,67.2487364768452,Montenegro,Europe,0.3945083139276006
1384,2024,633826.199532859,142.81992988940328,-456.88205843418837,38.73228859176743,1.7031927768632613,425918.1085051894,0.00022532979860198911,67.19793356902862,Montenegro,Europe,0.3945083139276006
1385,2025,630755.2555647156,383.2712283594401,1075.845012366015,40.131657048639795,1.6219208573784023,452147.0519373454,0.0006076385808570031,71.6834379021603,Montenegro,Europe,1.25444967257587
1386,2030,633196.9558944765,398.5354492992583,1986.2654575432534,41.47131079967028,1.556071723000823,472364.92168178037,0.0006294020297938309,74.59999882887954,Montenegro,Europe,1.25444967257587
1387,2035,635638.6562242374,413.7996702390774,2896.685902720492,42.81096455070076,1.4902225886232472,492582.79142621625,0.0006509982773815116,77.49415278677535,Montenegro,Europe,1.25444967257587
1388,2040,638080.3565539983,429.0638911788956,3807.1063478977303,44.15061830173124,1.4243734542456714,512800.6611706512,0.0006724292430754143,80.36615700568974,Montenegro,Europe,1.25444967257587
1389,2050,642963.7572135201,459.59233305853286,5627.947238252265,46.82992580379232,1.2926751854905199,553236.400659522,0.0007148028608180291,86.04472560897382,Montenegro,Europe,1.25444967257587
1390,2020,5390.634619086981,119.82196557056159,0.0,0.0,0.0,572.5956536624581,0.022227803224930127,10.622045345737778,Montserrat,Latin America and the Caribbean,0.14133177514776207
1391,2021,5631.20286257565,166.50932063534856,0.0,0.0,0.0,626.7325685266405,0.029569050289761544,11.129639329668546,Montserrat,Latin America and the Caribbean,0.14133177514776207
1392,2022,5899.374715335667,215.60494364332408,0.0,0.0,0.0,686.1332792788744,0.03654708406347713,11.630610232220759,Montserrat,Latin America and the Caribbean,0.14133177514776207
1393,2023,6195.150177322328,267.1088345916942,0.0,0.0,0.0,750.7977859098464,0.04311579654185948,12.119121642251402,Montserrat,Latin America and the Caribbean,0.14133177514776207
1394,2024,6518.529248565435,321.0209934860468,0.0,0.0,0.0,820.7260884270072,0.04924745770784038,12.59066358577172,Montserrat,Latin America and the Caribbean,0.14133177514776207
1395,2025,3395.6215993405203,74.26298433635748,0.0,0.0,0.0,233.47403132727777,0.02187021791555939,6.875737607883689,Montserrat,Latin America and the Caribbean,0.23301758358883137
1396,2030,2581.499175597739,131.73042044517933,0.0,0.0,0.0,119.53915910964133,0.051028650983271195,4.630610005209952,Montserrat,Latin America and the Caribbean,0.23301758358883137
1397,2035,1767.3767518548993,189.1978565540012,0.0,0.0,0.0,5.604286891997617,0.1070500991684054,0.31709633422052197,Montserrat,Latin America and the Caribbean,0.23301758358883137
1398,2040,953.254328112118,246.66529266282305,0.0,0.0,0.0,-108.3305853256461,0.25876126169952335,-11.364289899442731,Montserrat,Latin America and the Caribbean,0.23301758358883137
1399,2050,-674.9905193734448,361.6001648804631,0.0,0.0,0.0,-336.2003297609335,-0.5357114722383299,49.80815583498996,Montserrat,Latin America and the Caribbean,0.23301758358883137
1400,2020,36883683.78798008,475942.1010196209,-37893.36387550831,29.10468943243086,2.6080212359120196,23540381.20121765,0.012903865670129303,63.823291991482584,Morocco,Africa,0.07151033458212148
1401,2021,37333560.31375408,490142.0702393055,-28842.065600275993,29.394388853810597,2.65595684199252,24038430.92093277,0.013128725632383148,64.38826278263302,Morocco,Africa,0.07151033458212148
1402,2022,37786901.45340729,505232.5265240669,-19297.09847819805,29.68232286172224,2.710821672120801,24544384.791519165,0.01337057305815451,64.95474317147529,Morocco,Africa,0.07151033458212148
1403,2023,38243707.20694065,521213.46987462044,-9258.462509512901,29.968491456163065,2.7726157263041387,25058242.812976837,0.01362873810988774,65.52252551611718,Morocco,Africa,0.07151033458212148
1404,2024,38703977.57435608,538084.9002897739,1273.8423054218292,30.252894637135796,2.841339004538895,25580004.9853096,0.013902573689126216,66.09141124104524,Morocco,Africa,0.07151033458212148
1405,2025,38731693.8977741,443779.79142621625,-49827.98103874689,30.757708161582855,2.044954657873049,25114940.7633965,0.011457794554441632,64.84338337921196,Morocco,Africa,0.27387855999991256
1406,2030,40727921.21764219,449712.782769992,-40643.29843363585,32.335201978565465,1.7783223413025553,27027642.24567187,0.011041879116953042,66.3614577852902,Morocco,Africa,0.27387855999991256
1407,2035,42724148.537510276,455645.7741137678,-31458.615828524344,33.91269579554819,1.5116900247320757,28940343.727947235,0.010664829837714076,67.73767229682447,Morocco,Africa,0.27387855999991256
1408,2040,44720375.85737836,461578.76545754354,-22273.933223412838,35.49018961253091,1.245057708161582,30853045.210222602,0.010321441996140742,68.99102393195157,Morocco,Africa,0.27387855999991256
1409,2050,48712830.49711466,473444.7481450951,-3904.568013190292,38.645177246496246,0.7117930750206085,34678448.174773335,0.009719097480347359,71.1895568803529,Morocco,Africa,0.27387855999991256
1410,2020,31098894.316719055,858284.4906990528,-37527.93321657181,17.17592350257746,4.997265844976937,11866934.14334488,0.027598553246236508,38.15870115023705,Mozambique,Africa,0.08254007104827198
1411,2021,31927513.943828583,873503.7200074196,-52149.657408714294,17.14202858459339,4.94145639276303,12332439.508678436,0.027358964482615572,38.62636950178901,Mozambique,Africa,0.08254007104827198
1412,2022,32771050.807819366,888208.931937933,-67969.25599527359,17.105461704543814,4.884789079970915,12809967.419013977,0.027103462050902593,39.08927880932473,Mozambique,Africa,0.08254007104827198
1413,2023,33629504.90870285,902400.1264903545,-84986.72897577286,17.06622286243237,4.827263906601274,13299517.874336243,0.02683358345417764,39.547171183285876,Mozambique,Africa,0.08254007104827198
1414,2024,34502876.24647522,916077.3036649227,-103202.07635068893,17.02431205825542,4.768880872653426,13801090.874641418,0.02655075180169967,39.999827191367345,Mozambique,Africa,0.08254007104827198
1415,2025,33513843.471558094,993929.1055234969,28136.15746084042,17.31599340478153,4.8176009892827665,12801659.539983511,0.02965727002833937,38.198124159790225,Mozambique,Africa,0.19534708257333455
1416,2030,36566956.447650194,1107583.904369332,42554.826051112264,17.341755976916737,4.601236603462482,14250712.979390025,0.03028920128900981,38.97155892586128,Mozambique,Africa,0.19534708257333455
1417,2035,39620069.42374253,1221238.703215167,56973.49464138411,17.367518549051937,4.384872217642197,15699766.41879642,0.030823739609182343,39.62579229956688,Mozambique,Africa,0.19534708257333455
1418,2040,42673182.39983487,1334893.5020610094,71392.16323165689,17.393281121187137,4.168507831821927,17148819.858202815,0.031281789334422244,40.18640957574604,Mozambique,Africa,0.19534708257333455
1419,2050,48779408.35201955,1562203.0997526795,100229.50041220058,17.444806265457544,3.7357790601813576,20046926.737015724,0.03202587223852627,41.09710923991916,Mozambique,Africa,0.19534708257333455
1420,2020,54338565.873859406,344582.9874994755,-139031.23179721832,28.593556117000162,2.1770336546642284,16954556.497616768,0.006341407469225161,31.201700348468485,Myanmar,Asia,0.06601835538143752
1421,2021,54639293.32139206,342837.62096118927,-126957.66042256355,28.853241476310586,2.16000869112122,17200910.30332136,0.006274561769029386,31.480843286432037,Myanmar,Asia,0.06601835538143752
1422,2022,54931457.67954254,341653.14201426506,-113895.45081853867,29.112624933995676,2.145186007736811,17448845.57611847,0.00621962635703918,31.764759781018395,Myanmar,Asia,0.06601835538143752
1423,2023,55215058.948322296,341029.55065894127,-99844.60298466682,29.371706490055885,2.1325656045100914,17698362.316007614,0.0061763866081918474,32.05350615050892,Myanmar,Asia,0.06601835538143752
1424,2024,55490097.127716064,340966.84689474106,-84805.11692118645,29.630486144490987,2.1221474814419707,17949460.522990227,0.006144643180385347,32.347142016489414,Myanmar,Asia,0.06601835538143752
1425,2025,56834229.60346246,270877.8128606789,-193196.2580379229,29.926957955482294,1.8367765869744375,18003113.932399035,0.00476610336324813,31.676533768484912,Myanmar,Asia,0.1598638816824466
1426,2030,58963561.828112125,221167.5758450143,-205067.04740313347,31.247444352844127,1.5907337180543948,19119326.998763442,0.0037509195338258547,32.425664946258216,Myanmar,Asia,0.1598638816824466
1427,2035,61092894.052761674,171457.33882934973,-216937.8367683431,32.567930750206074,1.3446908491343663,20235540.06512779,0.0028065021552469583,33.122575675743505,Myanmar,Asia,0.1598638816824466
1428,2040,63222226.27741134,121747.10181368515,-228808.62613355368,33.88841714756802,1.0986479802143378,21351753.131492198,0.0019257009596510232,33.77254232997638,Myanmar,Asia,0.1598638816824466
1429,2050,67480890.72671056,22326.62778235972,-252550.2048639739,36.5293899422918,0.6065622423742667,23584179.264220953,0.0003308585221967484,34.949419028468405,Myanmar,Asia,0.1598638816824466
1430,2020,2528669.2784667015,48910.51923704147,-4706.532197415829,21.727175661511637,3.603682927114278,1396792.5235948563,0.019342394694927895,55.238244696112396,Namibia,Africa,0.07662688360861623
