,Year,YearlyChange,Migrants(net),MedianAge,FertilityRate,UrbanPopulation,Yearly%Change,UrbanPop%,Country,Continent,LossFunctCheck,Population
67,2025,352088.59192085825,190353.74196207803,38.80634789777412,1.8753009068425388,22973500.615828574,1.3107515014219009,85.52549306080017,Australia,Oceania,0.15699852473690537,26861582.19455886
68,2030,371259.90107172355,204060.45259686746,39.634872217642226,1.8811335531739488,24263593.78565544,1.3092710315045673,85.56706601507102,Australia,Oceania,0.15699852473690537,28356229.698680878
69,2035,390431.21022258885,217767.16323165782,40.463396537510334,1.8869661995053584,25553686.955482364,1.3079388172416209,85.60447581447609,Australia,Oceania,0.15699852473690537,29850877.202802896
70,2040,409602.5193734551,231473.87386644725,41.29192085737844,1.892798845836768,26843780.12530923,1.3067336508262848,85.63831799369703,Australia,Oceania,0.15699852473690537,31345524.706924915
71,2050,447945.1376751857,258887.29513602704,42.948969497114604,1.9044641384995875,29423966.46496296,1.3046380944801808,85.69716313950411,Australia,Oceania,0.15699852473690537,34334819.71516895
72,2022,69852.5495762974,68527.78498547524,45.116678137021154,1.4544419079807085,5049882.231402934,0.7746434321810058,56.00165101448537,Austria,Europe,0.1284291820649838,9017380.987743974
73,2025,70371.32646331424,71189.99752679328,45.358532563891174,1.4695053586150042,5131587.351195384,0.7696120147920087,56.12131359344945,Austria,Europe,0.146234042528322,9143740.626545757
74,2030,77241.57914262172,78763.40849134373,46.7157048639736,1.4766982687551526,5178739.494229183,0.8260543341819822,55.38364508199026,Austria,Europe,0.146234042528322,9350665.682192907
75,2035,84111.8318219292,86336.81945589464,48.072877164056024,1.483891178895301,5225891.637262985,0.8800526631561723,54.677918113534844,Austria,Europe,0.146234042528322,9557590.737840071
76,2040,90982.08450123668,93910.23042044556,49.43004946413845,1.4910840890354495,5273043.780296784,0.9317623774229573,54.002102017325036,Austria,Europe,0.146234042528322,9764515.793487221
77,2050,104722.58985985164,109057.05234954692,52.14439406430341,1.505469909315746,5367348.066364385,1.0288742892477039,52.732905424857464,Austria,Europe,0.146234042528322,10178365.904781535
78,2022,101412.47553507797,9350.094970181584,33.028105348405006,1.8327720940715153,5725862.76573348,0.9874021680663483,55.749840235189055,Azerbaijan,Asia,0.38537797023202763,10270635.29075253
79,2025,102895.58532563888,12255.36026380863,32.83594394064306,1.7556718878812916,5917983.62572135,0.9712282036300963,55.859661886674665,Azerbaijan,Asia,0.6028059833943894,10594377.81368506
80,2030,103606.15704863972,17749.32976092305,34.17992580379229,1.5998598516075901,6235324.651690021,0.9351369939798382,56.27930730537932,Azerbaijan,Asia,0.6028059833943894,11079249.106347889
